time,temperature
1734210000,21.1
1734213600,21.2
1734217200,21.4
1734220800,22.5
1734224400,25.0
1734228000,26.2
1734231600,27.3
1734235200,26.1
1734238800,25.0
1734242400,23.9
1734246000,23.8
1734249600,23.9
1734253200,23.4
1734256800,23.1
1734260400,22.3
1734264000,22.0
1734267600,21.8
1734271200,21.7
1734274800,21.5
1734278400,21.6
1734282000,21.6
1734285600,21.5
1734289200,21.3
1734292800,21.3
1734296400,21.1
1734300000,20.9
1734303600,21.1
1734307200,22.4
1734310800,23.4
1734314400,25.3
1734318000,26.6
1734321600,27.4
1734325200,28.3
1734328800,28.8
1734332400,25.0
1734336000,23.0
1734339600,23.3
1734343200,23.2
1734346800,22.6
1734350400,22.2
1734354000,22.7
1734357600,22.4
1734361200,22.3
1734364800,22.1
1734368400,22.0
1734372000,21.7
1734375600,21.5
1734379200,21.1
1734382800,20.9
1734386400,20.9
1734390000,21.2
1734393600,22.7
1734397200,24.4
1734400800,25.4
1734404400,26.4
1734408000,26.4
1734411600,27.0
1734415200,26.9
1734418800,26.3
1734422400,26.6
1734426000,25.6
1734429600,25.1
1734433200,24.0
1734436800,23.0
1734440400,23.9
1734444000,23.5
1734447600,23.2
1734451200,22.6
1734454800,21.8
1734458400,21.2
1734462000,20.6
1734465600,19.8
1734469200,20.1
1734472800,20.3
1734476400,21.0
1734480000,23.1
1734483600,23.9
1734487200,24.4
1734490800,24.7
1734494400,25.7
1734498000,26.0
1734501600,26.0
1734505200,26.5
1734508800,27.6
1734512400,25.9
1734516000,23.7
1734519600,22.8
1734523200,22.6
1734526800,22.8
1734530400,22.7
1734534000,21.8
1734537600,21.1
1734541200,21.1
1734544800,21.1
1734548400,20.5
1734552000,19.9
1734555600,19.5
1734559200,19.3
1734562800,20.4
1734566400,23.0
1734570000,24.7
1734573600,26.3
1734577200,27.8
1734580800,29.0
1734584400,29.5
1734588000,29.1
1734591600,28.5
1734595200,26.8
1734598800,26.6
1734602400,25.3
1734606000,23.9
1734609600,23.4
1734613200,23.1
1734616800,22.8
1734620400,22.8
1734624000,22.7
1734627600,22.2
1734631200,21.8
1734634800,21.6
1734638400,21.4
1734642000,21.2
1734645600,20.9
1734649200,20.9
1734652800,22.7
1734656400,24.5
1734660000,25.5
1734663600,27.4
1734667200,28.3
1734670800,28.6
1734674400,27.1
1734678000,26.6
1734681600,25.5
1734685200,24.5
1734688800,24.0
1734692400,23.0
1734696000,22.6
1734699600,22.7
1734703200,22.8
1734706800,22.3
1734710400,22.2
1734714000,22.4
1734717600,21.7
1734721200,21.5
1734724800,21.6
1734728400,21.6
1734732000,21.8
1734735600,22.1
1734739200,23.0
1734742800,24.1
1734746400,25.2
1734750000,26.3
1734753600,27.1
1734757200,27.6
1734760800,27.8
1734764400,27.2
1734768000,26.1
1734771600,25.4
1734775200,25.2
1734778800,24.0
1734782400,23.4
1734786000,23.5
1734789600,23.4
1734793200,23.1
1734796800,22.7
1734800400,22.3
1734804000,21.6
1734807600,21.6
1734811200,21.1
1734814800,21.1
1734818400,21.1
1734822000,20.9
1734825600,22.8
1734829200,24.7
1734832800,26.1
1734836400,27.1
1734840000,26.7
1734843600,25.8
1734847200,25.9
1734850800,24.6
1734854400,23.2
1734858000,23.5
1734861600,23.7
1734865200,23.0
1734868800,22.6
1734872400,23.2
1734876000,22.9
1734879600,23.0
1734883200,22.8
1734886800,22.3
1734890400,22.1
1734894000,21.8
1734897600,21.4
1734901200,21.0
1734904800,20.7
1734908400,20.5
1734912000,22.4
1734915600,23.9
1734919200,24.6
1734922800,26.1
1734926400,26.6
1734930000,27.3
1734933600,23.5
1734937200,23.2
1734940800,23.8
1734944400,24.3
1734948000,23.9
1734951600,22.9
1734955200,22.8
1734958800,22.9
1734962400,22.7
1734966000,22.1
1734969600,21.7
1734973200,21.6
1734976800,21.8
1734980400,21.4
1734984000,20.9
1734987600,21.0
1734991200,21.3
1734994800,21.2
1734998400,22.1
1735002000,24.0
1735005600,25.5
1735009200,25.4
1735012800,24.0
1735016400,24.6
1735020000,24.4
1735023600,23.7
1735027200,22.4
1735030800,22.9
1735034400,22.9
1735038000,22.5
1735041600,22.4
1735045200,22.1
1735048800,22.3
1735052400,22.3
1735056000,22.2
1735059600,21.9
1735063200,21.5
1735066800,21.4
1735070400,21.2
1735074000,21.0
1735077600,21.0
1735081200,21.1
1735084800,22.6
1735088400,24.9
1735092000,25.5
1735095600,26.1
1735099200,27.2
1735102800,28.4
1735106400,26.8
1735110000,24.9
1735113600,24.2
1735117200,24.1
1735120800,22.0
1735124400,21.9
1735128000,21.7
1735131600,22.5
1735135200,22.4
1735138800,22.5
1735142400,22.2
1735146000,22.0
1735149600,21.4
1735153200,21.0
1735156800,20.7
1735160400,20.4
1735164000,20.2
1735167600,20.4
1735171200,22.3
1735174800,24.8
1735178400,25.8
1735182000,25.9
1735185600,26.9
1735189200,27.3
1735192800,27.1
1735196400,27.6
1735200000,28.1
1735203600,27.1
1735207200,25.9
1735210800,24.7
1735214400,23.5
1735218000,23.3
1735221600,22.8
1735225200,22.5
1735228800,22.2
1735232400,21.6
1735236000,21.5
1735239600,21.1
1735243200,20.9
1735246800,20.8
1735250400,20.8
1735254000,20.7
1735257600,22.5
1735261200,23.7
1735264800,24.6
1735268400,25.3
1735272000,26.9
1735275600,27.5
1735279200,27.6
1735282800,27.9
1735286400,26.9
1735290000,26.2
1735293600,25.6
1735297200,24.9
1735300800,24.2
1735304400,24.7
1735308000,23.5
1735311600,22.8
1735315200,22.3
1735318800,22.5
1735322400,21.8
1735326000,21.6
1735329600,21.2
1735333200,20.8
1735336800,20.6
1735340400,20.7
1735344000,22.3
1735347600,23.9
1735351200,25.6
1735354800,27.1
1735358400,28.5
1735362000,28.2
1735365600,28.3
1735369200,28.1
1735372800,28.2
1735376400,27.9
1735380000,26.9
1735383600,25.4
1735387200,24.2
1735390800,23.5
1735394400,22.4
1735398000,21.9
1735401600,21.6
1735405200,21.5
1735408800,21.0
1735412400,20.6
1735416000,20.4
1735419600,20.4
1735423200,20.3
1735426800,20.5
1735430400,22.1
1735434000,23.0
1735437600,25.1
1735441200,26.9
1735444800,27.2
1735448400,27.6
1735452000,27.1
1735455600,27.5
1735459200,26.8
1735462800,25.8
1735466400,24.8
1735470000,23.7
1735473600,23.0
1735477200,22.8
1735480800,22.7
1735484400,22.2
1735488000,21.9
1735491600,21.5
1735495200,21.2
1735498800,20.8
1735502400,20.7
1735506000,20.7
1735509600,20.8
1735513200,21.1
1735516800,22.1
1735520400,23.1
1735524000,23.1
1735527600,24.0
1735531200,27.1
1735534800,28.1
1735538400,27.2
1735542000,26.0
1735545600,25.5
