,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
43,0.2632317066192627,0.012071712923164392,0.005569601058959961,0.0010271165319604982,0.1,0.1,3,1000,0.1,5.0,1.0,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 1.0}",-0.4459710050123649,-0.4235254901467824,-0.3387005723459027,-0.7340381318140916,-0.2625442495574349,-0.4409558897753153,0.16032032567229365,8477
44,0.29358325004577634,0.009579527409939599,0.0060561180114746095,0.0005115900159841919,0.1,0.1,3,1000,0.1,10.0,0.1,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0.1, 'reg_lambda': 10, 'subsample': 0.1}",-0.4233202826778631,-0.2916577211347739,-0.351865316181882,-0.6848750458142129,-0.2607584449316855,-0.4024953621480834,0.15172982632587304,6777
45,0.2929544448852539,0.009959916725459369,0.005377721786499023,0.000938496842970584,0.1,0.1,3,1000,0.1,10.0,0.3,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0.1, 'reg_lambda': 10, 'subsample': 0.3}",-0.43599632367295627,-0.38496515364375183,-0.3423720131286937,-0.6868566975833752,-0.2630222962332096,-0.42264249685239735,0.14375605013554882,7460
46,0.29918346405029295,0.008543687092331241,0.005165576934814453,0.0009537260399143472,0.1,0.1,3,1000,0.1,10.0,0.5,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0.1, 'reg_lambda': 10, 'subsample': 0.5}",-0.4418114084997386,-0.37748700534785357,-0.3368824369947487,-0.6797130002324453,-0.26438552757092065,-0.4200558757291414,0.14202697803135933,7378
47,0.2713158130645752,0.016174496894152166,0.005593442916870117,0.001835853629662759,0.1,0.1,3,1000,0.1,10.0,1.0,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0.1, 'reg_lambda': 10, 'subsample': 1.0}",-0.44395759423388903,-0.40831967438593186,-0.3400002367062339,-0.7390277430728548,-0.2601275937765038,-0.4382865684350826,0.16295781825440606,8305
48,0.29250445365905764,0.011492636344253881,0.004631137847900391,0.0007497154708659619,0.1,0.1,3,1000,0.5,0.0,0.1,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 0, 'subsample': 0.1}",-0.4259145874894281,-0.3751545865327628,-0.3432598402537275,-0.6661502433508776,-0.2681512767822558,-0.41572610688181033,0.13527142477606108,7215
49,0.29727625846862793,0.01245278589210951,0.005957698822021485,0.0006218307322864073,0.1,0.1,3,1000,0.5,0.0,0.3,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 0, 'subsample': 0.3}",-0.4474333329337993,-0.429974699919045,-0.34528408061428423,-0.7006958624660263,-0.27011793825266367,-0.43870118283716364,0.1455614505599735,8336
50,0.29948978424072265,0.012723142325560566,0.005047512054443359,0.00105096157355613,0.1,0.1,3,1000,0.5,0.0,0.5,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 0, 'subsample': 0.5}",-0.447944887306288,-0.4097036183008363,-0.3381918391697004,-0.6904292528603737,-0.26946969900673723,-0.43114785932878713,0.14335235321595685,7951
51,0.26290454864501955,0.0117583511853831,0.00520167350769043,0.0007310274691290339,0.1,0.1,3,1000,0.5,0.0,1.0,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 0, 'subsample': 1.0}",-0.4445382032284552,-0.42346271947575514,-0.33746616369514276,-0.7463847986925832,-0.2630237132926691,-0.44297511967692105,0.1648970944342087,8601
52,0.29113264083862306,0.012460759512744671,0.005410432815551758,0.0011976276656767782,0.1,0.1,3,1000,0.5,0.1,0.1,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.1}",-0.4246076780525382,-0.3708384287971608,-0.35763653553934655,-0.6981859867682887,-0.2646532275094605,-0.4231843713333589,0.14683096017750016,7486
