DateTime,Wh,temperature,hour,day_of_week,day_of_month,is_weekend,lag_1,lag_24,lag_168
2022-01-18 06:00:00+00:00,310.0545800333333,30.0715,6,1,18,0,301.0796568833333,154.34120998333333,352.22684975
2022-01-18 07:00:00+00:00,297.9583191666667,29.7215,7,1,18,0,310.0545800333333,157.81206113333334,363.2846728916667
2022-01-18 08:00:00+00:00,274.25236961666667,28.671501,8,1,18,0,297.9583191666667,156.08709969999998,329.2150782666667
2022-01-18 09:00:00+00:00,205.55458165,27.3715,9,1,18,0,274.25236961666667,148.26401816666666,266.8295065666667
2022-01-18 10:00:00+00:00,167.28768996666668,25.8715,10,1,18,0,205.55458165,124.80174131666666,196.00221498333332
2022-01-18 11:00:00+00:00,142.1660717,24.7215,11,1,18,0,167.28768996666668,111.87130901666669,162.10801936666667
2022-01-18 12:00:00+00:00,116.44328775,24.921501,12,1,18,0,142.1660717,96.72696015,132.13693568333332
2022-01-18 13:00:00+00:00,102.16529696666666,24.2215,13,1,18,0,116.44328775,88.2976945,111.58365191666668
2022-01-18 14:00:00+00:00,87.37340371666667,23.6215,14,1,18,0,102.16529696666666,87.22043005,102.13903438333334
2022-01-18 15:00:00+00:00,96.75122825,23.3215,15,1,18,0,87.37340371666667,86.95434134999999,104.41089088333334
2022-01-18 16:00:00+00:00,92.35467191666666,23.1215,16,1,18,0,96.75122825,86.93328731666666,104.19582683333331
2022-01-18 17:00:00+00:00,86.77021745,23.0715,17,1,18,0,92.35467191666666,82.83342968333334,102.51784038333334
2022-01-18 18:00:00+00:00,86.94794926666667,23.021502,18,1,18,0,86.77021745,87.76519195,102.29483028333333
2022-01-18 19:00:00+00:00,86.41191901666666,22.671501,19,1,18,0,86.94794926666667,82.48873925,107.20943668333334
2022-01-18 20:00:00+00:00,85.2515088,22.7215,20,1,18,0,86.41191901666666,83.63447098333333,97.36066555
2022-01-18 21:00:00+00:00,87.20537155,23.0715,21,1,18,0,85.2515088,91.55219621666669,100.12835378333334
2022-01-18 22:00:00+00:00,118.16427978333331,23.171501,22,1,18,0,87.20537155,115.18419395,133.03642955
2022-01-18 23:00:00+00:00,198.16308813333333,23.2215,23,1,18,0,118.16427978333331,177.51619506666665,201.4313659833333
2022-01-19 00:00:00+00:00,322.20058905,24.2215,0,2,19,0,198.16308813333333,293.1890035,315.25271208333334
2022-01-19 01:00:00+00:00,356.9843392833333,25.5715,1,2,19,0,322.20058905,332.49473395,343.80067008333333
2022-01-19 02:00:00+00:00,375.5376638,26.6215,2,2,19,0,356.9843392833333,341.49118293333333,375.36621233333335
2022-01-19 03:00:00+00:00,361.09599898333335,26.6215,3,2,19,0,375.5376638,347.88291475,357.7917756
2022-01-19 04:00:00+00:00,349.00544975,27.421501,4,2,19,0,361.09599898333335,319.75120926666665,359.3321137666667
2022-01-19 05:00:00+00:00,363.5443062,28.2215,5,2,19,0,349.00544975,301.0796568833333,343.08747098333333
2022-01-19 06:00:00+00:00,364.52004308333335,29.5715,6,2,19,0,363.5443062,310.0545800333333,335.99265668333334
2022-01-19 07:00:00+00:00,343.8882684,30.4715,7,2,19,0,364.52004308333335,297.9583191666667,355.52309421666666
2022-01-19 08:00:00+00:00,315.22164871666666,29.6215,8,2,19,0,343.8882684,274.25236961666667,330.7977336
2022-01-19 09:00:00+00:00,260.06927735,28.8715,9,2,19,0,315.22164871666666,205.55458165,260.17141008333334
2022-01-19 10:00:00+00:00,179.9575987,27.3215,10,2,19,0,260.06927735,167.28768996666668,188.52708188333327
2022-01-19 11:00:00+00:00,144.30028756666667,26.171501,11,2,19,0,179.9575987,142.1660717,160.97498758333333
2022-01-19 12:00:00+00:00,129.60455896666667,25.421501,12,2,19,0,144.30028756666667,116.44328775,138.96958898333332
2022-01-19 13:00:00+00:00,109.99410245,25.421501,13,2,19,0,129.60455896666667,102.16529696666666,118.7419515
2022-01-19 14:00:00+00:00,92.81236231666666,25.3715,14,2,19,0,109.99410245,87.37340371666667,109.07352786666668
2022-01-19 15:00:00+00:00,94.79040033333334,24.271502,15,2,19,0,92.81236231666666,96.75122825,110.23159001666666
2022-01-19 16:00:00+00:00,101.4763131,24.1215,16,2,19,0,94.79040033333334,92.35467191666666,110.11956808333332
2022-01-19 17:00:00+00:00,90.86703496666668,24.0715,17,2,19,0,101.4763131,86.77021745,106.18033006666668
2022-01-19 18:00:00+00:00,90.32488756666666,23.771502,18,2,19,0,90.86703496666668,86.94794926666667,99.28070381666666
2022-01-19 19:00:00+00:00,90.32496356666668,23.8215,19,2,19,0,90.32488756666666,86.41191901666666,98.31955151666666
2022-01-19 20:00:00+00:00,90.52249618333332,23.521502,20,2,19,0,90.32496356666668,85.2515088,105.70613788333333
2022-01-19 21:00:00+00:00,92.41904186666666,23.7215,21,2,19,0,90.52249618333332,87.20537155,100.80656805
2022-01-19 22:00:00+00:00,125.342356,23.1215,22,2,19,0,92.41904186666666,118.16427978333331,135.40029986666667
2022-01-19 23:00:00+00:00,181.14755406666663,23.771502,23,2,19,0,125.342356,198.16308813333333,195.57915316666663
2022-01-20 00:00:00+00:00,302.17597301666666,25.0715,0,3,20,0,181.14755406666663,322.20058905,284.69488671666664
2022-01-20 01:00:00+00:00,360.0586605666667,26.1215,1,3,20,0,302.17597301666666,356.9843392833333,333.34623846666665
2022-01-20 02:00:00+00:00,349.89948956666666,26.8715,2,3,20,0,360.0586605666667,375.5376638,330.863594
2022-01-20 03:00:00+00:00,348.49738966666666,28.021502,3,3,20,0,349.89948956666666,361.09599898333335,336.37257265
2022-01-20 04:00:00+00:00,340.93527728333333,29.3215,4,3,20,0,348.49738966666666,349.00544975,319.54730573333336
2022-01-20 05:00:00+00:00,350.91359581666666,30.271502,5,3,20,0,340.93527728333333,363.5443062,319.32766871666666
2022-01-20 06:00:00+00:00,360.18526148333336,30.171501,6,3,20,0,350.91359581666666,364.52004308333335,337.0783460833333
